created_at,State,RTO,OEM,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),Petrol,Petrol /CNG,Petrol /HYBRID,PURE EV,STRONG HYBRID EV,PETROL/ETHANOL,Total,EV
2025-11-07T12:55:29.486676+00:00,Tamil Nadu,CHENNAI (SOUTH,VOLKSWAGEN AG,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,BYD INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,HONDA CARS INDIA LTD,0,0,0,0,10,0,0,0,0,0,10,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,HYUNDAI MOTOR INDIA LTD,0,1,0,0,1,0,0,0,0,17,19,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,ISUZU MOTORS INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,1,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,JSW MG MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,4,5,1
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA ELECTRIC AUTOMOBILE LTD,0,0,0,0,0,0,0,4,0,0,4,4
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA & MAHINDRA LIMITED,0,1,0,0,2,0,0,0,0,2,5,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,MARUTI SUZUKI INDIA LTD,0,0,0,0,10,4,3,0,1,1,19,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,MERCEDES-BENZ INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,3,0,0,0,0,0,3,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,6,0,0,0,0,0,6,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.508928+00:00,Tamil Nadu,CHENNAI RTO,TATA MOTORS PASSENGER VEHICLES LTD,0,2,0,0,1,0,0,0,0,7,10,0
